"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Outcaster Greenblade","G","U","57923","2.54","28932","2.75","165234","92.2%","57.5%","29871","61.1%","39526","61.4%","69397","61.3%","95350","54.7%","6.6pp"
"Outcaster Trailblazer","G","R","15800","1.65","9835","1.66","55929","93.4%","56.1%","10018","60.5%","13133","58.3%","23151","59.3%","32671","53.8%","5.5pp"
"Patient Naturalist","G","C","276358","4.54","65697","5.95","340160","85.0%","56.0%","60728","56.7%","78685","56.3%","139413","56.5%","200139","55.6%","0.9pp"
"Railway Brawler","G","M","5809","1.23","5056","1.22","30618","96.4%","58.0%","5326","66.5%","7517","64.1%","12843","65.1%","17462","52.5%","12.6pp"
"Rambling Possum","G","U","90609","3.64","22323","4.68","121143","90.1%","55.1%","21148","54.6%","27622","54.6%","48770","54.6%","71470","55.3%","-0.7pp"
"Raucous Entertainer","G","U","99138","3.98","20507","5.32","104202","85.6%","53.7%","18313","52.6%","23580","52.4%","41893","52.5%","62147","54.6%","-2.1pp"
"Reach for the Sky","G","C","374479","7.50","47887","10.84","67796","23.5%","54.5%","10460","53.8%","15643","56.2%","26103","55.3%","41600","54.1%","1.2pp"
"Rise of the Varmints","G","U","127296","5.40","21525","7.39","66867","52.1%","53.3%","10587","50.3%","15898","56.9%","26485","54.2%","40185","52.7%","1.6pp"
"Smuggler's Surprise","G","R","30169","2.98","8021","3.45","37921","78.7%","55.2%","6287","55.0%","8989","57.8%","15276","56.7%","22535","54.1%","2.6pp"
"Snakeskin Veil","G","C","298300","4.95","62554","6.70","319969","84.1%","56.0%","51234","56.4%","74425","57.6%","125659","57.1%","193480","55.3%","1.8pp"
"Spinewoods Armadillo","G","U","54645","2.37","25887","2.62","151453","94.7%","57.1%","26462","60.0%","36214","61.0%","62676","60.6%","88099","54.5%","6.1pp"
"Spinewoods Paladin","G","C","238534","3.86","61815","5.00","350687","93.3%","55.7%","58654","55.6%","84058","58.0%","142712","57.0%","207531","54.9%","2.1pp"
"Stubborn Burrowfiend","G","U","77731","3.25","28870","3.76","163606","92.0%","56.6%","29710","59.5%","37343","56.5%","67053","57.8%","95381","55.7%","2.1pp"
"Throw from the Saddle","G","C","201483","3.40","68560","4.06","394270","93.4%","56.7%","65786","57.5%","93267","59.9%","159053","58.9%","234062","55.1%","3.8pp"
"Trash the Town","G","U","85430","3.48","24820","4.25","135766","89.3%","56.4%","22157","56.0%","31880","59.6%","54037","58.1%","81347","55.3%","2.9pp"
"Tumbleweed Rising","G","C","341942","6.07","53059","8.66","166349","51.8%","55.3%","26976","54.8%","38449","56.3%","65425","55.7%","100612","55.0%","0.7pp"
"Voracious Varmint","G","C","323802","5.35","55383","7.64","259905","77.6%","55.0%","45368","54.8%","59140","54.4%","104508","54.6%","154819","55.3%","-0.7pp"
"Akul the Unrepentant","BR","R","33586","3.41","6746","4.10","25683","65.9%","51.3%","4112","52.0%","6371","54.6%","10483","53.6%","15150","49.7%","3.9pp"
"Annie Flash, the Veteran","WRG","M","10134","2.20","4899","2.18","25524","86.0%","55.8%","4157","56.6%","5985","60.9%","10142","59.2%","15266","53.5%","5.6pp"
"Annie Joins Up","WRG","R","53429","5.04","7651","7.30","16593","36.4%","53.5%","2683","52.7%","3746","54.2%","6429","53.6%","10144","53.5%","0.1pp"
"Assimilation Aegis","WU","M","11876","2.53","4708","2.62","21648","77.8%","53.6%","3647","54.3%","5722","58.4%","9369","56.8%","12199","51.0%","5.8pp"
"At Knifepoint","BR","U","111557","5.04","17847","6.72","63553","62.3%","50.0%","10676","49.7%","15899","50.7%","26575","50.3%","36811","49.7%","0.5pp"
"Badlands Revival","BG","U","100005","4.24","26853","5.21","125545","78.0%","54.6%","19761","52.5%","31600","58.7%","51361","56.3%","73549","53.4%","3.0pp"
"Baron Bertram Graywater","WB","U","115947","5.06","19067","6.96","65105","57.9%","52.6%","10615","50.8%","16589","55.7%","27204","53.8%","37935","51.8%","2.0pp"
"Bonny Pall, Clearcutter","UG","R","14966","1.64","11113","1.58","64088","92.5%","57.4%","10693","64.1%","17097","67.6%","27790","66.2%","35394","50.0%","16.3pp"
"Breeches, the Blastmaker","UR","R","48183","4.78","6949","6.68","14235","35.7%","48.5%","2416","48.3%","3852","50.2%","6268","49.5%","7955","47.6%","1.8pp"
"Bruse Tarl, Roving Rancher","WR","R","20060","2.14","10576","2.12","57589","89.0%","56.2%","10001","60.2%","13672","61.3%","23673","60.8%","33764","53.0%","7.8pp"
"Cactusfolk Sureshot","RG","U","94251","4.03","19836","5.13","91069","76.1%","55.4%","15161","57.8%","20739","56.9%","35900","57.3%","55090","54.1%","3.2pp"
"Congregation Gryff","WG","U","81315","3.48","24181","4.10","128769","86.2%","57.1%","22471","58.2%","29741","57.5%","52212","57.8%","74653","56.4%","1.4pp"
"Doc Aurlock, Grizzled Genius","UG","U","124788","5.67","18426","7.81","50261","47.0%","51.7%","8456","53.6%","12638","51.8%","21094","52.6%","28819","51.1%","1.5pp"
"Eriette, the Beguiler","WUB","R","61046","5.80","7433","8.95","4155","9.5%","51.5%","687","47.7%","1156","56.9%","1843","53.5%","2312","49.9%","3.6pp"
"Ertha Jo, Frontier Mentor","WR","U","107909","4.61","18870","6.19","72661","64.5%","54.3%","11872","55.1%","16585","56.6%","28457","56.0%","44215","53.2%","2.7pp"
"Form a Posse","WR","U","124557","5.37","18778","7.57","60784","54.5%","53.1%","9488","51.1%","14052","55.7%","23540","53.9%","37187","52.5%","1.3pp"
"Ghired, Mirror of the Wilds","WRG","M","18784","3.77","3295","4.93","9025","46.7%","53.2%","1475","51.9%","1993","54.9%","3468","53.6%","5552","52.9%","0.7pp"
"The Gitrog, Ravenous Ride","BG","M","7081","1.52","5085","1.49","28641","92.8%","55.6%","4823","57.5%","7104","61.4%","11927","59.9%","16247","52.0%","7.8pp"
"Honest Rutstein","BG","U","72671","3.19","26302","3.61","136815","85.7%","55.6%","23167","55.5%","33879","60.2%","57046","58.3%","78881","53.5%","4.8pp"
"Intimidation Campaign","UB","U","105646","4.67","23192","5.78","96497","71.0%","52.3%","16386","50.2%","26861","56.7%","43247","54.2%","52480","50.5%","3.8pp"
"Jem Lightfoote, Sky Explorer","WU","U","110467","4.90","17006","6.69","56964","58.3%","50.3%","9435","49.5%","15541","52.9%","24976","51.6%","32015","49.3%","2.3pp"
"Jolene, Plundering Pugilist","RG","U","97774","4.17","19351","5.40","85877","73.7%","54.8%","14805","56.4%","19505","55.9%","34310","56.1%","51541","53.9%","2.3pp"
"Kambal, Profiteering Mayor","WB","R","34872","3.53","7678","4.27","30488","67.6%","52.8%","5131","55.3%","7609","55.7%","12740","55.5%","17734","50.9%","4.6pp"
"Kellan Joins Up","WUG","R","61665","5.97","7408","9.23","2253","5.2%","45.2%","359","","581","43.7%","940","41.3%","1298","47.9%","-6.6pp"
"Kellan, the Kid","WUG","M","14890","3.14","3813","3.56","13557","61.7%","51.8%","2327","54.0%","3438","55.9%","5765","55.1%","7750","49.1%","6.1pp"
"Kraum, Violent Cacophony","UR","U","110184","4.93","18101","6.52","66007","62.7%","51.3%","10973","52.3%","18839","55.0%","29812","54.0%","36172","49.0%","5.0pp"
"Laughing Jasper Flint","BR","R","17116","1.84","10164","1.81","56217","91.7%","54.3%","9688","58.0%","14297","58.6%","23985","58.3%","31888","51.1%","7.2pp"
"Lazav, Familiar Stranger","UB","U","103461","4.47","21365","5.72","90798","73.0%","52.0%","15470","51.7%","25423","55.4%","40893","54.0%","49709","50.2%","3.8pp"
"Lilah, Undefeated Slickshot","UR","R","45551","4.54","7113","6.15","19021","46.3%","50.3%","3262","51.8%","5426","53.3%","8688","52.7%","10295","48.2%","4.5pp"
"Make Your Own Luck","UG","U","113731","4.83","24549","6.32","98154","67.3%","53.6%","15954","53.1%","25475","56.6%","41429","55.2%","56395","52.3%","2.9pp"
"Malcolm, the Eyes","UR","R","37464","3.87","7577","4.65","28057","63.5%","51.9%","4855","55.8%","7896","56.1%","12751","56.0%","15228","48.3%","7.7pp"
"Marchesa, Dealer of Death","UBR","R","34630","3.51","8967","3.95","34845","67.2%","50.8%","5730","50.8%","9739","54.9%","15469","53.4%","19279","48.6%","4.8pp"
"Miriam, Herd Whisperer","WG","U","82473","3.64","24100","4.15","123043","82.6%","57.2%","21489","60.3%","27619","57.5%","49108","58.7%","73878","56.2%","2.5pp"
"Obeka, Splitter of Seconds","UBR","R","61555","6.02","7005","9.43","1014","2.5%","39.5%","159","","256","","415","","600","41.5%",""
"Oko, the Ringleader","UG","M","6429","1.36","4785","1.34","25708","90.5%","54.3%","4308","57.3%","6627","59.5%","10935","58.6%","14629","50.9%","7.7pp"
"Pillage the Bog","BG","R","50940","4.71","8855","6.54","26446","50.8%","53.5%","4418","50.8%","6574","57.6%","10992","54.9%","15383","52.6%","2.3pp"
"Rakdos Joins Up","BR","R","37582","3.71","6644","4.79","22781","58.9%","51.9%","3607","49.8%","5570","55.6%","9177","53.4%","13507","50.7%","2.6pp"
"Rakdos, the Muscle","BR","M","7404","1.63","4906","1.58","27699","91.6%","56.2%","4667","62.5%","7248","64.9%","11915","64.0%","15466","49.7%","14.3pp"
"Riku of Many Paths","URG","R","56029","5.38","7456","8.00","6554","15.0%","49.0%","1085","46.5%","1800","51.2%","2885","49.5%","3658","48.6%","0.9pp"
"Roxanne, Starfall Savant","RG","R","15371","1.65","10676","1.62","61863","92.8%","57.4%","10545","63.6%","14943","63.8%","25488","63.7%","35897","52.8%","11.0pp"
"Ruthless Lawbringer","WB","U","109902","4.69","24279","5.91","103753","71.0%","55.5%","17199","55.9%","26224","59.8%","43423","58.2%","60130","53.6%","4.6pp"
"Satoru, the Infiltrator","UB","R","38864","3.89","8035","4.84","26801","57.6%","51.1%","4605","52.2%","7379","54.6%","11984","53.7%","14754","48.9%","4.8pp"
"Selvala, Eager Trailblazer","WG","M","6919","1.47","5109","1.46","29007","92.4%","56.4%","4958","63.7%","7032","61.0%","11990","62.1%","16963","52.3%","9.8pp"
"Seraphic Steed","WG","R","18896","2.06","10287","2.05","57416","89.7%","57.6%","10172","66.0%","13286","60.3%","23458","62.8%","33117","53.8%","9.0pp"
"Slick Sequence","UR","U","126837","5.76","18424","7.94","58791","54.5%","51.7%","9875","52.3%","16885","57.0%","26760","55.2%","31834","48.6%","6.7pp"
"Taii Wakeen, Perfect Shot","WR","R","46532","4.55","7385","6.25","19760","45.4%","52.6%","3453","53.7%","4313","52.0%","7766","52.7%","12007","52.6%","0.2pp"
"Vial Smasher, Gleeful Grenadier","BR","U","101356","4.54","17109","5.93","69973","70.1%","51.9%","11981","55.7%","16820","52.8%","28801","54.0%","41123","50.4%","3.6pp"
"Vraska Joins Up","BG","R","57885","5.62","6624","8.82","3151","8.1%","45.8%","462","","746","46.4%","1208","43.6%","1932","47.0%","-3.4pp"
"Vraska, the Silencer","BG","M","10774","2.26","4119","2.38","19087","79.1%","52.7%","3270","52.8%","4729","55.8%","7999","54.6%","11028","51.3%","3.3pp"
"Wrangler of the Damned","WU","U","115190","5.11","18270","6.95","60479","57.7%","49.9%","9795","48.6%","16511","52.1%","26306","50.8%","34093","49.2%","1.6pp"
"Wylie Duke, Atiin Hero","WG","R","23066","2.41","9901","2.46","51459","85.3%","56.5%","9037","59.1%","11753","60.1%","20790","59.7%","30630","54.3%","5.4pp"
"Bandit's Haul","","U","129911","5.44","22108","7.34","82856","63.2%","53.0%","15147","53.3%","21464","54.1%","36611","53.7%","46122","52.3%","1.4pp"
"Boom Box","","U","157524","7.71","17591","11.40","9248","8.9%","51.1%","1469","47.8%","2385","52.8%","3854","50.9%","5372","51.3%","-0.4pp"
"Gold Pan","","C","380819","7.59","46768","11.00","60891","21.8%","52.5%","11002","53.5%","13725","51.4%","24727","52.3%","35979","52.6%","-0.3pp"
"Lavaspur Boots","","U","152968","7.32","15203","11.17","10933","12.1%","53.3%","1802","53.6%","2412","50.7%","4214","51.9%","6702","54.1%","-2.2pp"
"Luxurious Locomotive","","U","153700","7.21","17438","10.76","18406","17.7%","50.8%","2832","48.0%","4475","50.4%","7307","49.5%","11106","51.7%","-2.3pp"
"Mobile Homestead","","U","118895","4.77","23457","6.42","104882","73.8%","55.4%","19121","58.6%","23610","53.8%","42731","55.9%","62106","55.1%","0.9pp"
"Oasis Gardener","","C","354784","6.18","50857","8.99","171480","56.7%","53.2%","30948","53.1%","41731","54.4%","72679","53.9%","98417","52.6%","1.2pp"
"Redrock Sentinel","","U","150233","6.77","23193","9.53","65552","47.3%","53.9%","11424","52.3%","16533","55.9%","27957","54.4%","37479","53.4%","1.0pp"
"Silver Deputy","","C","368473","6.85","46880","9.99","114152","41.4%","51.2%","21639","49.2%","26618","50.6%","48257","49.9%","65653","52.1%","-2.2pp"
"Sterling Hound","","C","383024","7.63","54473","10.78","104287","32.1%","53.4%","18563","52.4%","25113","54.1%","43676","53.4%","60445","53.4%","-0.1pp"
"Tomb Trawler","","U","160843","8.35","20148","11.80","11059","9.3%","51.2%","1883","46.0%","2980","51.7%","4863","49.5%","6146","52.4%","-2.9pp"
"Abraded Bluffs","","C","176772","5.05","33251","7.04","155147","77.7%","54.4%","27832","56.2%","34840","52.7%","62672","54.3%","88906","54.1%","0.2pp"
"Arid Archway","","U","144359","6.16","22924","8.68","85525","62.7%","53.6%","14243","50.1%","19739","52.0%","33982","51.2%","49092","54.7%","-3.5pp"
"Bristling Backwoods","","C","165608","4.63","34202","6.40","171724","83.0%","55.0%","31545","57.5%","37432","53.2%","68977","55.1%","96957","54.4%","0.8pp"
"Conduit Pylons","","C","321231","5.08","61805","7.17","339925","90.9%","55.1%","62465","55.3%","79052","56.1%","141517","55.7%","187520","54.1%","1.6pp"
"Creosote Heath","","C","159690","4.40","36767","5.97","199080","89.1%","55.9%","37046","58.4%","42911","53.8%","79957","55.9%","112573","55.5%","0.4pp"
"Eroded Canyon","","C","176869","5.19","33279","7.13","150543","76.7%","52.9%","27430","54.5%","38524","54.1%","65954","54.2%","81734","51.4%","2.9pp"
"Festering Gulch","","C","158838","4.45","39885","5.91","210879","87.7%","55.2%","38668","57.3%","48540","55.4%","87208","56.2%","115644","53.7%","2.5pp"
"Forlorn Flats","","C","173535","4.90","37911","6.69","187257","82.2%","54.7%","34245","56.6%","44134","54.9%","78379","55.6%","104413","53.6%","2.0pp"
"Jagged Barrens","","C","162632","4.61","33951","6.26","170459","84.2%","53.8%","31408","55.8%","41552","54.2%","72960","54.9%","94283","52.5%","2.4pp"
"Lonely Arroyo","","C","180671","5.26","35144","7.29","155624","74.6%","53.6%","28111","54.9%","38415","54.0%","66526","54.3%","85417","52.5%","1.8pp"
"Lush Oasis","","C","168011","4.79","37092","6.48","181965","81.5%","54.7%","33404","56.6%","43576","55.0%","76980","55.7%","98616","53.3%","2.4pp"
"Mirage Mesa","","C","284689","4.36","62331","6.05","355219","94.9%","54.6%","65918","56.4%","82462","52.8%","148380","54.4%","201711","54.6%","-0.3pp"
"Sandstorm Verge","","U","153740","7.02","19098","10.30","49176","42.9%","54.4%","7964","54.0%","11216","54.8%","19180","54.5%","28929","54.0%","0.5pp"
"Soured Springs","","C","164645","4.72","37535","6.26","187893","84.1%","54.0%","34697","56.4%","48132","55.5%","82829","55.9%","100969","52.0%","3.9pp"
"Jace Reawakened","U","M","10329","2.14","3372","2.22","14541","76.5%","49.4%","2468","48.2%","4042","52.3%","6510","50.7%","7981","48.3%","2.5pp"
"Bucolic Ranch","","U","145632","6.21","23283","8.74","84212","59.4%","56.7%","14524","56.7%","18054","55.4%","32578","56.0%","49009","56.8%","-0.8pp"
"Blooming Marsh","","R","44765","3.81","8854","5.29","38331","73.3%","53.3%","7100","55.5%","8844","52.1%","15944","53.6%","22272","53.1%","0.6pp"
"Botanical Sanctum","","R","46735","4.05","8220","5.72","30863","64.2%","52.7%","5775","54.7%","7554","51.9%","13329","53.2%","17302","52.3%","0.9pp"
"Concealed Courtyard","","R","47549","4.08","7982","5.89","30579","64.5%","53.7%","5702","56.0%","7045","52.3%","12747","53.9%","17821","53.5%","0.4pp"
"Inspiring Vantage","","R","47483","4.10","7388","5.84","27786","63.5%","53.7%","5235","53.8%","6018","51.4%","11253","52.5%","16512","54.4%","-1.9pp"
"Spirebluff Canal","","R","48549","4.24","7231","6.11","24811","59.4%","50.4%","4517","53.5%","6334","50.6%","10851","51.8%","13890","49.2%","2.6pp"
"Stoneforge Mystic","W","M","3888","3.67","638","4.85","1142","30.3%","53.3%","184","","247","","431","","710","50.3%",""
"Brazen Borrower","U","M","2074","2.10","902","2.18","4530","85.1%","53.6%","849","57.6%","1237","59.0%","2086","58.4%","2415","49.2%","9.2pp"
"Desertion","U","M","2778","2.72","852","3.05","4273","83.4%","53.9%","720","55.3%","1195","58.7%","1915","57.4%","2323","50.6%","6.8pp"
"Morbid Opportunist","B","M","1866","1.88","939","1.97","5210","93.8%","53.6%","877","57.1%","1309","56.8%","2186","56.9%","3011","51.2%","5.7pp"
"Port Razer","R","M","2919","2.91","435","","1571","62.3%","50.2%","239","","354","","593","49.2%","978","50.6%","-1.4pp"
"Scapeshift","G","M","5917","5.55","697","8.57","89","2.1%","","14","","30","","44","","45","",""
"Mystic Snake","UG","M","3804","3.55","787","4.48","2782","59.1%","52.4%","465","","719","56.9%","1184","55.6%","1571","49.8%","5.7pp"
"Notion Thief","UB","M","3823","3.55","701","4.67","1970","51.1%","45.2%","345","","538","49.4%","883","46.0%","1076","44.4%","1.6pp"
"Desert","","M","3618","3.30","664","4.13","3131","80.2%","53.4%","530","55.1%","727","57.5%","1257","56.5%","1783","51.1%","5.4pp"
"Prismatic Vista","","M","2730","2.48","846","2.94","4891","97.4%","53.4%","926","52.5%","1138","52.5%","2064","52.5%","2814","54.0%","-1.5pp"
"Collector's Cage","W","M","6164","1.75","4014","1.76","23278","93.2%","57.7%","4119","61.6%","5953","62.8%","10072","62.3%","13165","54.1%","8.3pp"
"Grand Abolisher","W","M","14529","3.73","2026","5.22","6127","51.6%","52.1%","1013","52.5%","1391","52.0%","2404","52.2%","3725","52.1%","0.1pp"
"Oltec Matterweaver","W","M","6184","1.79","3261","1.85","18160","91.7%","55.3%","3186","59.2%","4455","56.2%","7641","57.4%","10514","53.7%","3.7pp"
"Rest in Peace","W","M","23542","5.97","2807","9.29","69","0.4%","","7","","13","","20","","49","",""
"Esoteric Duplicator","U","M","20456","5.21","2538","7.97","1216","8.2%","46.0%","211","","335","","546","44.9%","664","46.8%","-2.0pp"
"Simulacrum Synthesizer","U","M","17912","4.77","2138","7.27","961","7.6%","46.4%","189","","276","","465","","491","",""
"Worldwalker Helm","U","M","21189","5.44","2488","8.49","542","3.7%","45.2%","100","","133","","233","","304","",""
"Greed's Gambit","B","M","19492","4.95","2432","7.44","2567","17.8%","50.9%","424","","665","52.0%","1089","49.4%","1473","51.8%","-2.4pp"
"Harvester of Misery","B","M","5773","1.64","3689","1.67","20762","92.8%","55.7%","3594","57.7%","5460","62.6%","9054","60.7%","11549","51.6%","9.1pp"
"Hostile Investigator","B","M","5880","1.65","3970","1.69","23223","94.4%","57.0%","4135","62.6%","5936","62.1%","10071","62.3%","12964","52.9%","9.4pp"
"Generous Plunderer","R","M","9228","2.46","2703","2.75","14036","85.0%","55.1%","2552","62.2%","3253","55.9%","5805","58.7%","8227","52.5%","6.1pp"
"Legion Extruder","R","M","11117","3.00","2407","3.54","9761","68.8%","52.9%","1655","51.6%","2253","56.5%","3908","54.4%","5838","51.8%","2.6pp"
"Memory Vessel","R","M","23191","5.91","2722","9.04","207","1.3%","","38","","43","","81","","126","",""
"Molten Duplication","R","M","18679","4.88","1903","7.76","1307","11.8%","47.4%","187","","320","","507","46.2%","798","48.0%","-1.8pp"
"Territory Forge","R","M","22282","5.84","2560","9.04","239","1.6%","","41","","59","","100","","139","",""
"Ancient Cornucopia","G","M","14046","3.66","2330","4.93","7656","56.3%","50.7%","1376","50.5%","1839","50.4%","3215","50.4%","4421","50.7%","-0.3pp"
"Bristlebud Farmer","G","M","5154","1.45","3890","1.45","22983","94.6%","57.6%","3984","62.8%","5648","62.0%","9632","62.3%","13215","54.0%","8.3pp"
"Omenpath Journey","G","M","18328","4.74","2433","7.05","3638","25.4%","49.8%","614","47.7%","885","52.0%","1499","50.2%","2127","49.4%","0.8pp"
"Sandstorm Salvager","G","M","5338","1.53","3738","1.56","21687","93.8%","57.1%","3937","61.4%","5115","60.1%","9052","60.7%","12553","54.4%","6.3pp"
"Vaultborn Tyrant","G","M","4727","1.36","3691","1.36","22036","95.1%","57.9%","3574","61.5%","5500","65.8%","9074","64.1%","12679","53.1%","11.0pp"
"Loot, the Key to Everything","URG","M","16744","4.40","2563","6.11","4384","29.4%","50.8%","669","49.6%","1160","55.5%","1829","53.4%","2543","48.8%","4.6pp"
"Pest Control","WB","M","21867","5.48","2609","8.56","402","2.6%","","72","","96","","168","","234","",""
"Lost Jitte","","M","6408","1.81","2600","1.84","14012","91.0%","53.1%","2508","56.0%","3358","54.4%","5866","55.1%","8117","51.6%","3.5pp"
"Lotus Ring","","M","10291","2.85","2474","3.28","11515","78.7%","53.9%","1970","56.1%","2799","57.1%","4769","56.7%","6710","51.8%","4.9pp"
"Nexus of Becoming","","M","7140","2.06","3793","2.08","21542","93.9%","55.2%","3672","56.7%","5506","58.4%","9178","57.7%","12295","53.2%","4.5pp"
"Sword of Wealth and Power","","M","5342","1.54","2681","1.57","14557","93.8%","51.4%","2481","51.3%","3698","52.4%","6179","52.0%","8352","50.8%","1.2pp"
"Torpor Orb","","M","22961","5.84","2644","9.15","89","0.6%","","21","","24","","45","","44","",""
"Transmutation Font","","M","17480","4.41","2410","6.35","5177","37.4%","49.6%","867","45.1%","1343","50.8%","2210","48.6%","2963","50.3%","-1.8pp"
"Fomori Vault","","M","22160","5.61","2636","8.72","1225","7.8%","49.7%","198","","286","","484","","737","49.9%",""
"Tarnation Vista","","M","12696","3.06","2714","4.04","14542","90.9%","52.8%","2696","54.9%","3611","51.1%","6307","52.7%","8208","52.9%","-0.2pp"
"Fell the Mighty","W","R","17853","3.04","4561","3.55","21432","79.0%","53.8%","3417","52.6%","5199","57.5%","8616","55.5%","12780","52.5%","3.0pp"
"Fierce Retribution","W","U","96236","4.03","16183","5.58","77250","80.0%","53.8%","13088","52.6%","18905","56.0%","31993","54.6%","45157","53.2%","1.4pp"
"Journey to Nowhere","W","U","58159","2.56","22024","2.92","124853","92.9%","55.9%","21734","56.5%","30535","59.4%","52269","58.2%","72431","54.1%","4.1pp"
"Leyline Binding","W","M","8490","2.86","2701","3.30","13929","86.0%","54.4%","2328","54.3%","3415","57.9%","5743","56.4%","8165","53.0%","3.4pp"
"Pariah","W","R","32080","5.56","3416","8.81","3909","19.4%","50.2%","617","47.2%","960","50.8%","1577","49.4%","2332","50.8%","-1.4pp"
"Path to Exile","W","R","13353","2.32","4658","2.60","25035","89.8%","54.8%","4272","54.1%","6135","58.3%","10407","56.6%","14573","53.6%","3.0pp"
"Archive Trap","U","R","25995","4.48","5819","5.31","16643","49.0%","52.4%","2756","50.8%","4951","60.6%","7707","57.1%","8798","47.9%","9.2pp"
"Archmage's Charm","U","R","30399","5.05","4229","7.45","8679","34.9%","51.7%","1373","51.3%","2478","57.3%","3851","55.1%","4803","48.7%","6.4pp"
"Commandeer","U","R","34902","6.00","4071","9.31","1439","6.0%","46.2%","238","","407","","645","45.4%","789","46.9%","-1.5pp"
"Essence Capture","U","U","124031","5.63","18746","7.80","65472","59.8%","52.2%","10935","53.3%","18370","56.3%","29305","55.1%","35846","49.7%","5.5pp"
"Mana Drain","U","M","6499","2.36","2738","2.42","13772","85.0%","54.3%","2325","59.6%","3861","59.5%","6186","59.6%","7488","49.8%","9.8pp"
"Mindbreak Trap","U","M","16792","5.66","2063","8.70","646","5.3%","48.6%","90","","177","","267","","376","",""
"Repulse","U","U","92603","3.89","23479","4.81","120025","86.2%","53.7%","20915","53.6%","33439","59.1%","54354","57.0%","65090","50.8%","6.2pp"
"Heartless Pillage","B","U","129623","5.79","16778","8.62","45911","46.7%","52.3%","7618","52.6%","12012","54.7%","19630","53.9%","26179","51.0%","2.9pp"
"Imp's Mischief","B","R","31779","5.38","3680","8.18","5789","27.2%","47.7%","908","44.1%","1442","49.4%","2350","47.4%","3426","48.0%","-0.6pp"
"Murder","B","U","71492","3.12","20099","3.74","108812","91.4%","53.8%","18588","53.3%","28677","58.1%","47265","56.2%","61156","51.9%","4.4pp"
"Overwhelming Forces","B","M","5812","2.23","3146","2.19","17846","91.2%","57.4%","2799","60.7%","4838","67.4%","7637","64.9%","10021","51.3%","13.6pp"
"Reanimate","B","R","13218","2.35","5275","2.52","27011","88.5%","52.3%","4506","50.8%","7058","55.3%","11564","53.5%","15320","51.3%","2.2pp"
"Surgical Extraction","B","R","36600","6.29","4045","9.80","254","1.0%","","39","","69","","108","","146","",""
"Thoughtseize","B","M","9561","3.21","1900","4.07","8171","73.4%","52.4%","1452","53.9%","2140","54.9%","3592","54.5%","4540","50.6%","3.9pp"
"Collective Defiance","R","R","18612","3.11","3998","3.84","19598","83.0%","53.4%","3083","53.5%","4792","56.4%","7875","55.3%","11695","52.0%","3.2pp"
"Crackle with Power","R","M","8772","3.13","2468","3.54","11935","80.4%","54.3%","1826","53.2%","2994","60.7%","4820","57.8%","7086","51.7%","6.1pp"
"Electrodominance","R","R","19941","3.35","3522","4.24","16198","78.5%","52.1%","2511","49.4%","3949","54.9%","6460","52.8%","9707","51.5%","1.2pp"
"Fling","R","U","142936","6.95","15642","10.43","18015","19.6%","51.1%","2679","47.6%","4175","52.6%","6854","50.6%","11136","51.4%","-0.8pp"
"Indomitable Creativity","R","M","17229","5.92","1976","9.22","275","2.3%","","34","","65","","99","","176","",""
"Skewer the Critics","R","U","94566","3.95","15818","5.35","77423","83.2%","52.7%","12804","52.1%","18825","53.9%","31629","53.2%","45678","52.3%","0.9pp"
"Skullcrack","R","R","32745","5.76","3187","9.08","2598","14.0%","46.3%","402","","579","46.6%","981","45.2%","1615","46.9%","-1.8pp"
"Clear Shot","G","U","65313","2.82","25596","3.26","144712","93.4%","55.6%","24110","55.1%","34596","58.8%","58706","57.3%","85528","54.5%","2.8pp"
"Force of Vigor","G","M","15888","5.22","1788","8.21","626","5.9%","48.6%","89","","157","","246","","379","",""
"Pest Infestation","G","R","14023","2.43","8033","2.53","45514","92.3%","56.6%","7476","57.7%","11325","63.0%","18801","60.9%","26474","53.4%","7.5pp"
"Primal Command","G","R","17802","3.00","5922","3.47","29348","82.6%","55.3%","4620","53.8%","7100","59.5%","11720","57.2%","17553","54.1%","3.1pp"
"Primal Might","G","R","12743","2.20","6112","2.39","34567","92.8%","55.6%","5578","55.4%","8327","59.5%","13905","57.9%","20536","54.0%","3.8pp"
"Thornado","G","U","144440","6.70","18470","9.95","31933","29.0%","52.2%","5235","49.3%","7357","50.6%","12592","50.1%","19243","53.5%","-3.4pp"
"Abrupt Decay","BG","R","24419","3.95","5063","5.25","21624","72.0%","54.2%","3680","54.8%","5450","58.2%","9130","56.8%","12396","52.3%","4.5pp"
"Anguished Unmaking","WB","M","12264","4.03","2059","5.51","7335","60.9%","52.2%","1205","51.5%","1871","55.1%","3076","53.7%","4243","51.0%","2.7pp"
"Back for More","BG","U","92109","4.03","27297","4.85","129317","78.8%","55.0%","20176","53.6%","32552","58.7%","52728","56.7%","76079","53.6%","3.1pp"
"Bedevil","BR","R","26121","4.32","4022","5.99","15737","66.7%","51.8%","2533","50.8%","3976","54.2%","6509","52.9%","9176","50.9%","2.0pp"
